datetime,city,state,country,shape,duration,comments,latitude,longitude,region,us_region
27/12/2013 20:30,salinas,CA,US,light,600,For the past couple of days starting December 22&#44 2013 I have seen a distant object in the sky that moves speratically up&#44 down&#44 side t,36.6777778,-121.6544444,US,West
27/12/2013 21:00,missoula,MT,US,light,300,Chinese paper lanterns at  9pm or UFO&#39s?,46.8722222,-113.9930556,US,West
27/12/2013 23:00,corona,SD,US,light,5,3 triangular light forms. White&#44 blue&#44 green. Flashed across sky silently&#44 and quickly. Another report on fb stated location.,45.3338889,-96.7627778,US,Midwest
28/12/1925 18:00,atkinson (6 miles north of),IL,US,disk,60,Young boy witnesses disc in sky above Illinois farmland in December 1925.,41.4208333,-90.015,US,Midwest
28/12/1957 0:00,madison,WI,US,cigar,3600,My mother and i worked as telephone swithcboard operators.Dec. 28?&#441957 YOUR BOX DATE WONT TAKE THE DATE I PUT IN.I was in College. We,43.0730556,-89.4011111,US,Midwest
28/12/1957 0:00,madison,WI,US,cigar,3600,My mother and i worked as telephone swithcboard operators. I was in College. We worked from 4pm-12 midnight. I went and got the car and,43.0730556,-89.4011111,US,Midwest
28/12/1999 2:00,dallas,TX,US,unknown,120,Saw very large object emerge from behind a hill in front of me on 408 Spur.  Long row of lights too bright for me to see shape of craft,32.7833333,-96.8,US,Southeast
28/12/1999 16:28,kota kinabalu/sabah (malaysia),ASIA,MY,disk,120,Shiny metallic object&#44 disc shaped&#44 silent and hovering.,5.976474,116.115777,Asia,ASIA
28/12/1999 23:05,lakeland,FL,US,fireball,60,12/28/99 lakeland florida orange ball,28.0391667,-81.95,US,Southeast
28/12/2000 17:51,monument valley,UT,US,other,20,Adult male driving in a remote area of Monument Valley&#44 southeastern UT&#44 observed a star-sized blue-white light describing a path with,37.004245,-110.173478,US,West
28/12/2000 19:10,pasadena,CA,US,fireball,2,Bright green fireball travelling east to west over Pasadena&#44 California at 7PM Pacific on 12/28/00,34.1477778,-118.1436111,US,West
28/12/2001 1:00,tucson,AZ,US,disk,2700,I was running a night shift in the middle of the desert&#44using a track hoe to feed an incinerator.I am a 4 year vetran of the army and m,32.2216667,-110.9258333,US,Southwest
28/12/2002 4:50,dane,WI,US,formation,120,five lights moving in formation,43.2505556,-89.5013889,US,Midwest
28/12/2002 19:10,stoke-on-trent (uk/england),EUROPE,GB,formation,4,Red m Shaped Crafts flying in an upside down V formation,53,-2.183333,Europe,EUROPE
28/12/2003 9:00,little rock,AR,US,triangle,10,Triangler lights spotted 15 miles south of Little Rock,34.7463889,-92.2894444,US,Southeast
28/12/2003 18:41,waterloo,IA,US,other,3,Very fast&#44 silent&#44 moving craft enveloped by vapor&#44 @ about 8000 feet AGL traveling SW to NW then W,42.4927778,-92.3427778,US,Midwest
28/12/2003 22:00,sissonville,WV,US,light,180,Three lights&#44 perfectly spaced apart&#44 moving irratically through the trees and then disappearing.,38.5280556,-81.6311111,US,Southeast
28/12/2005 5:00,charleston,WV,US,circle,180,blueish and white orb,38.3497222,-81.6327778,US,Southeast
28/12/2005 18:00,austin,TX,US,triangle,300,Triangluar Object very low to the point of seeing detail hanging over the city.,30.2669444,-97.7427778,US,Southeast
28/12/2005 21:00,miami,OK,US,light,300,UFO MISSOURI INVESTIGATOR GROUP REPORT:  I looked out the window of our pick-up and noticed a large orange &quot;star&quot; or so I thought&#8230;,36.8744444,-94.8772222,US,Southeast
28/12/2006 17:51,bakersfield,CA,US,sphere,360,Bright round orange object observed above above northern horizon.,35.3733333,-119.0177778,US,West
28/12/2006 20:45,apollo,PA,US,circle,7200,Circular craft can be seen at the intersection of Cherry Lane and Shellhammer Rd.. ((NUFORC Note:  Possible advertising lights??  PD)),40.5813889,-79.5666667,US,Northeast
28/12/2007 20:30,westwood,CA,US,diamond,300,silent diamond shape w/ four blue/white lighs and a large red light in center of bottom.,40.3061111,-121.0047222,US,West
28/12/2008 3:30,batesville,IN,US,unknown,1,Green explosion/flash lighting up the whole sky for an instant similar color to the Alaskian northern light green,39.3,-85.2222222,US,Midwest
28/12/2008 5:30,fort fairfield,ME,US,other,15,I saw a star like object shoot stright up and dissiapere,46.7722222,-67.8344444,US,Northeast
28/12/2008 13:00,peoria,IL,US,other,600,Odd shaped aircraft seen over Peoria IL,40.6936111,-89.5888889,US,Midwest
28/12/2008 21:00,davie,FL,US,sphere,180,Six red-orange orbs appear over Davie skies.,26.0625,-80.2333333,US,Southeast
28/12/2009 18:00,oak harbor,WA,US,fireball,300,balls of light over Puget  Sound,48.2933333,-122.6419444,US,West
28/12/2011 22:30,rocky mount,NC,US,formation,1200,Four orange light formation moving slowly across the sky in eastern north carolina.,35.9380556,-77.7908333,US,Southeast
28/12/2012 17:40,wenatchee,WA,US,light,300,Dozens of lights in East Wenatchee.,47.4236111,-120.3091667,US,West
